,name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
32,Egg Chicken Roll,49405,266726,4168,22145,20638,13577,919,1123,4497,1532,10887,70478,129828,47257,549,46,229,8158,5007,11,23,803,515,296,36654,64039,82,110824,123748,32033,253,1486,1722,42,128258,2123,343,16488,8423,7083,8436,5528,74484
33,Egg Chicken Roll,49504,266679,4205,22162,20624,13693,743,971,45043,1571,10795,70361,129794,47258,394,54,36,8139,4906,85,199,874,393,136,36616,6398,192,110643,123768,32035,294,1475,1769,153,128213,2123,428,1636,8433,6937,8479,552,74436
34,Egg Chicken Roll,49497,266735,4158,22141,20558,13565,808,103,44947,1605,10754,70455,129701,47277,416,181,227,8246,4907,198,181,992,382,209,36605,64141,238,110728,123835,32038,279,1398,1833,1,12822,2204,419,16336,8443,6996,8352,5644,74392
35,Egg Chicken Roll,49469,266618,4243,2212,20604,13645,939,1022,44913,1542,10728,70464,129875,47449,50,102,307,8165,4866,216,108,909,538,98,36626,64093,184,110803,123854,32028,37,150,1769,74,128229,2163,463,16453,840,6987,8379,5535,74402
36,Egg Chicken Roll,49476,266772,4231,22169,20634,13593,856,1116,45082,1497,10878,70302,129741,47312,453,46,295,8111,4986,119,187,98,45,151,36585,64076,24,110717,123896,32055,413,1353,1874,143,128278,2202,303,16411,8346,7017,8492,5629,74447
37,Egg Chicken Roll,49456,266793,4245,22091,20569,13593,784,1087,45045,146,10764,70498,129803,47335,427,106,231,8086,4892,138,126,889,501,173,36623,64098,123,110821,123765,32061,429,1464,1737,163,128319,2196,417,16373,8446,7006,8396,5486,74324
38,Egg Chicken Roll,49462,266774,4217,22084,20595,13696,896,1026,4491,1472,10832,70352,12979,47312,566,57,359,8162,4893,169,162,973,371,258,36679,64141,81,110803,123869,31901,268,1333,1864,178,128252,2012,457,16384,8403,7039,8342,5621,74479
39,Egg Chicken Roll,49557,266792,4111,22145,20619,13691,809,1091,44994,1543,10838,70375,129857,47282,573,15,236,8216,4901,51,9,826,464,119,36655,64054,192,110742,123744,31973,377,1389,1895,54,128252,2044,453,16473,8539,7014,8398,5597,74434
40,Ayam Saus Inggris,57585,2436,4797,12335,12301,32482,442,13203,861,3374,467,719,1200649,1093491,81,2518,48142,931,761,507,997,21268,3853,2824,116,1033,152,1936,289,232,12,680,25,32062,635,1876,0,0,1782,57727,44418,14813,90
41,Ayam Saus Inggris,57515,243644,4761,12368,12319,32406,4514,13204,86178,3274,46757,71846,119968,10936,869,23,4785,9346,754,9,15,2188,287,317,1160,10392,166,193625,28806,23291,1178,67964,2494,3207,63579,180,11,-69,17867,5742,447,1424,8942
42,Ayam Saus Inggris,57574,243591,4827,12281,12303,32507,4485,1313,8601,3408,46674,71996,120018,109251,848,241,4832,939,7549,78,8,2205,317,23,11682,10338,156,193651,2895,23124,1216,67976,2408,3186,63585,1881,-79,-24,17748,5728,4531,1575,893
43,Ayam Saus Inggris,57541,243667,480,12372,12365,32533,443,13281,86192,334,46698,71951,120031,109388,764,172,4826,925,7531,11,7,212,471,264,11648,10356,222,193568,28839,23127,1223,68039,2444,3277,63412,1883,-91,-66,17867,5682,4441,1443,9065
44,Ayam Saus Inggris,5766,24365,4818,1225,12272,3253,4399,1324,86172,3372,46604,71807,120102,109378,733,161,4715,935,7573,-22,67,2089,324,293,11608,10411,189,193598,28839,2329,1273,67971,2586,3125,63526,182,-22,68,1789,5727,4539,1442,9078
45,Ayam Saus Inggris,57613,243676,4883,12253,12257,32477,4464,13107,86174,3456,4667,71864,120074,10942,828,214,4904,9364,7561,75,18,2094,441,26,1166,1038,202,19353,28958,23118,1145,68068,2595,3268,63579,1944,0,64,17796,5859,4501,1567,8901
46,Ayam Saus Inggris,5756,243639,4732,12357,12341,3254,4364,13199,86194,3436,46779,71821,120076,109289,855,237,4733,9364,7707,126,7,2085,433,329,11584,10425,92,193542,28845,23159,1102,68053,244,327,63481,1813,-32,88,1773,5823,4423,1442,8979
47,Ayam Saus Inggris,57499,243608,4766,12289,12277,32549,4405,13206,8616,3346,46616,71969,120127,109261,875,309,4765,9243,771,61,23,2097,371,376,1162,10301,124,193535,28912,23178,1299,68046,2544,3127,63529,1869,-66,84,17826,5677,4511,1515,8929
48,Ayam Saus Inggris,57624,243571,4712,12244,12229,32527,4342,13218,86119,3415,46641,7185,120046,109347,891,225,4824,9286,7669,104,158,2082,371,193,11574,10261,71,193621,28914,23114,1152,68046,2491,3135,63535,1881,-52,96,17745,5772,4446,1416,8938
49,Ayam Saus Inggris,57517,243655,4834,1229,12356,32403,4508,13109,86042,3346,46778,71922,120053,109328,829,332,4885,9235,7668,-1,92,2049,309,309,11696,1038,234,193597,2888,23115,1159,68079,2456,3276,63464,1833,-86,55,1777,5725,4526,1537,8963
50,Ayam Geprek Keju,45726,3290,14405,15319,3327,40248,932,1586,220114,5887,961,2489,1428534,1595274,1984,496,40708,1845,1886,2164,4507,30463,9078,6461,528,6183,256,2582939,589,438,41,631152,63,40,1463428,2968,28,112,3411,71302,52045,20241,501
51,Ayam Geprek Keju,4565,329047,1444,15255,33292,40189,9314,161,220113,596,96172,248841,142933,15944,2072,486,4056,18549,18892,289,549,3072,976,743,52864,61813,19,258327,58938,43761,403,6311,6373,3959,146324,2871,349,1125,34043,7165,527,1972,50181
52,Ayam Geprek Keju,45748,328947,14459,15279,33193,40205,9352,1549,220107,5843,96121,24897,142795,159597,2031,493,4026,18416,18766,158,545,3002,891,601,52766,61754,171,258383,58864,43795,4003,63169,6373,397,146349,2952,36,11141,34146,7164,5255,1974,50068
53,Ayam Geprek Keju,45779,328986,14427,15314,33289,40232,9379,1512,220045,5862,96014,248822,142854,159571,1892,504,4034,18404,18783,285,38,3047,841,641,52795,61744,338,258222,58912,43821,4097,6302,6236,4082,146407,298,261,1118,34107,7098,5124,2059,50028
54,Ayam Geprek Keju,45809,329059,14309,15329,33295,40317,9279,1488,220039,5975,96189,248954,142772,159482,1896,48,4119,18528,18913,276,417,2985,1008,706,52834,61769,226,258331,58928,43898,4151,6319,6242,3946,146435,2872,194,1124,34176,7158,513,2114,50129
55,Ayam Geprek Keju,45756,329065,14385,15309,33247,4031,9401,1655,220096,5793,96184,248829,142834,159456,1971,504,3991,18434,18821,244,469,3069,937,661,52765,61759,204,258261,58877,43718,4015,63172,6308,3994,146311,3049,188,11249,34088,7059,5212,2047,50175
56,Ayam Geprek Keju,45788,329052,14363,15241,33296,40299,9346,1594,220111,582,9606,248826,142947,159441,2051,466,3979,1853,18895,243,47,308,881,604,52781,61904,351,258308,58957,43811,4147,63153,6338,4021,146324,2936,331,11269,34202,7073,516,1976,50132
57,Ayam Geprek Keju,45636,328981,14461,15331,33221,40207,9406,1645,220055,5797,96044,248829,142864,159599,1902,454,3994,18536,18877,29,456,3049,968,707,52892,61799,258,25822,58963,43886,4151,63052,6291,4097,146256,3027,279,11206,34112,7177,5237,2019,50064
58,Ayam Geprek Keju,4565,328977,14435,15394,33248,40323,9226,1589,220195,5849,96124,248838,142906,159559,2078,405,402,18406,18922,154,45,3006,978,614,52809,61737,172,258279,58939,43837,4044,63124,6229,4057,146353,3034,341,11149,3413,7086,5115,2021,50156
59,Ayam Geprek Keju,4565,329097,14504,15402,33204,40248,9369,1648,220143,5915,96005,248991,142819,159555,1922,438,404,18379,18936,191,417,3003,812,631,52823,61788,221,258328,58917,43759,4142,63133,6367,3905,146327,2946,373,11204,34146,7073,5289,2045,50055
60,Omelet Mie,44646,2833,5212,23288,11093,15177,33,991,638,226,203,857,1236,1964758,754,1634,7067,735,725,436,924,5136,3056,2105,156,4143,311,691238,1093,957,11,629,20,15,5629,2767,26,107,1525,83929,9732,38138,484
61,Omelet Mie,44684,283354,525,23326,11167,15098,339,971,63843,2255,20292,85666,123687,196434,681,215,63,7417,729,58,191,489,242,156,15568,41499,387,6919,109227,95769,1054,62934,1995,1509,56386,2686,195,10699,1526,8467,9801,3884,4849
62,Omelet Mie,44693,283248,5166,23325,11141,15193,3366,942,63843,2197,20249,85717,123552,196405,741,157,804,7442,7265,-49,9,49,38,142,15558,4139,409,69172,109242,95762,1039,62915,1953,1491,56341,2674,204,10735,15216,8481,9675,3759,48389
63,Omelet Mie,44607,283345,5254,2332,11103,15095,3388,989,63832,2328,20322,85795,123555,196449,854,125,727,7266,7269,55,4,442,266,133,15513,4150,217,69028,109219,95797,1121,62839,1926,1427,56295,280,328,10722,15344,8405,9789,3872,48351
64,Omelet Mie,44741,283332,5212,23361,1105,15175,3344,1065,63725,2216,20382,85781,123672,196553,678,17,626,7403,7205,82,129,428,301,145,15648,41429,315,69205,109268,95769,1046,62918,2039,1537,56291,284,185,10753,15303,8373,977,3899,48456
65,Omelet Mie,4468,283217,5176,23214,11097,15116,3395,992,63762,2249,20268,85683,123639,196434,669,77,733,7266,7278,82,166,546,356,12,15688,41512,301,69208,109222,95696,1012,62993,2018,1408,56305,2808,331,1076,15203,8397,971,3887,48472
66,Omelet Mie,44736,28325,5123,23374,10998,15275,3346,953,63705,2176,20349,85769,123619,196406,656,222,655,7401,7274,-19,-5,42,22,186,15608,41461,303,69081,109353,95703,1134,62966,1939,145,56288,2746,201,10647,15336,843,966,3719,48495
67,Omelet Mie,44614,283379,5238,23368,11011,15079,3378,90,6373,227,20355,85738,123597,196421,819,154,618,729,732,8,41,487,396,283,15681,41353,267,69069,109289,95773,113,62898,1973,1517,56313,2729,243,10695,15346,8365,9769,378,48409
68,Omelet Mie,44734,28328,5116,23208,11087,15208,3303,106,63748,2296,20347,85732,123599,196475,751,64,785,7359,7291,-42,98,534,245,235,15619,41423,269,69141,109227,95656,1094,62875,1997,1543,56293,2729,244,10734,15275,8347,9738,3859,48468
69,Omelet Mie,44667,283251,5305,23328,11002,15185,3242,1032,63718,2203,20223,85767,123627,196536,798,243,663,7279,7164,114,12,441,325,153,15617,41351,308,69115,109229,95761,1184,62958,1955,149,56227,284,305,10747,1521,8322,967,3839,48451
70,Ayam Gepuk,5718,3075,9155,8075,27514,58125,947,26057,2548,10155,1102,1706,2443311,568391,1908,3024,74402,1633,2291,106,2161,26968,2443,5908,434,311,172,1457185,599,261,0,29,0,0,140,471,41,163,30,21326,32863,18172,115
71,Ayam Gepuk,57089,307563,9113,8011,27458,58212,9558,26063,25477,10158,110276,170678,244249,56899,1939,36,7486,16312,22865,17,282,2696,322,546,43313,31018,82,145716,5995,26136,-11,2873,-22,-3,1402,571,332,16386,292,2168,3216,1738,1155
72,Ayam Gepuk,57225,30745,9133,8151,27562,58222,9553,26095,254899,10096,110111,170636,244429,56859,1809,213,7496,16274,22938,174,13,2772,24,628,43326,31195,26,145786,59839,2613,-52,2899,73,-9,13926,387,477,16253,3043,2131,3216,1805,1150
73,Ayam Gepuk,57264,307551,9077,7998,27581,58073,9556,25974,254842,10178,110203,170667,244304,5679,1947,384,7425,16284,22839,104,217,2662,165,683,43495,31072,235,145668,59853,26155,-52,2975,54,79,13941,445,329,16282,3058,2069,3263,1857,11443
74,Ayam Gepuk,57086,307455,9217,8097,27498,58099,948,25992,254749,10067,110179,170513,244258,56806,1824,236,7394,16406,22864,51,146,2786,281,672,4333,31082,176,145762,59892,2618,31,2965,65,-99,1399,418,371,16329,3047,218,3242,1831,11455
75,Ayam Gepuk,5725,307449,910,8114,27559,58169,9419,26152,254776,10249,110212,170561,244274,56923,1873,306,7399,16231,22948,109,274,2788,199,53,43371,31104,113,145643,5998,26067,6,2909,-9,83,13968,558,485,16307,2924,2157,3203,1907,11591
76,Ayam Gepuk,57232,30752,9082,8123,27455,58065,9529,26051,25483,10125,110277,170625,244347,56839,189,331,7438,16272,22876,147,256,2688,273,545,43373,31007,152,14579,59943,26153,87,2953,76,-17,1392,532,407,16376,3008,2222,3214,1873,1158
77,Ayam Gepuk,57149,307591,9125,8031,27569,58117,9385,26021,254796,10236,110176,170596,244286,56805,1907,348,7518,16303,22865,78,235,2709,318,647,43443,3116,213,145772,59865,26111,-69,2912,-82,14,14047,551,391,16391,2948,2126,3283,1845,11597
78,Ayam Gepuk,57161,307474,906,8031,27597,58118,953,25965,254792,10227,110222,170627,244333,56861,1944,284,7402,16308,22855,177,266,275,158,592,43342,31046,107,145661,59857,2615,-2,2905,76,8,13933,444,501,16319,301,217,3264,1783,11424
79,Ayam Gepuk,5713,307414,9183,8052,27472,58088,9437,25975,254836,10066,110208,170641,244277,56772,1911,386,7407,16344,22885,97,158,2653,238,559,43493,31002,234,145815,59985,26107,-33,2874,31,-28,14088,463,414,16366,2959,218,3246,1902,11591
80,Ayam Barbeque,40394,3403,4587,20188,2758,41593,754,23633,88028,4511,523,748,2459329,2395131,828,2547,17081,821,979,1116,1261,10379,307,3987,357,164,96,1502126,1616,1365,13,1131,54,36612,940,859,1,3,1877,116385,55025,14055,528
81,Ayam Barbeque,40447,340359,4677,20204,2711,41514,7609,23668,87929,4547,5224,74706,245947,239471,833,291,1619,8174,9754,103,32,1066,251,375,35778,16453,33,150267,161508,13645,1209,113147,5444,3619,94097,911,-64,324,18864,11556,5567,1357,52835
82,Ayam Barbeque,4030,340331,4573,20279,2794,41628,7501,23558,88126,461,52381,74755,245876,239608,846,248,1731,8205,9721,211,87,957,31,351,35796,16395,137,150172,161656,136482,136,113005,5375,3597,94078,777,-1,285,1880,11599,5599,1412,52859
83,Ayam Barbeque,40348,340335,4603,20148,2817,4150,7485,23535,8807,4418,52328,74726,246005,239541,919,327,163,8253,9778,114,42,1012,312,367,35761,16374,109,150269,161658,136523,1245,113037,5384,3669,93925,797,16,369,18851,11731,5484,1353,52812
84,Ayam Barbeque,40401,340301,4568,20257,2713,41581,7569,23594,88078,452,5228,74804,245875,239432,824,318,1721,8123,9759,12,106,1053,273,448,35704,1644,117,15013,161627,136403,1278,113062,5366,3667,93945,821,-61,307,18807,11614,5588,1406,52863
85,Ayam Barbeque,40365,340293,4655,20182,2674,41607,7531,23629,87964,4588,52331,74765,245977,239504,818,279,1796,8264,9726,12,221,939,398,454,35673,16488,2,150174,161607,136586,1315,113057,5419,3743,94013,783,72,314,18823,11599,5496,136,52729
86,Ayam Barbeque,4030,340314,4619,20158,2737,4154,759,23555,8803,4518,52338,74864,245937,239583,85,329,1664,8226,9818,85,142,1065,277,469,35765,16486,23,150177,161578,136458,1358,113188,5487,371,94085,917,9,204,18774,11624,5488,1322,52824
87,Ayam Barbeque,40327,340367,4602,20128,2786,41685,7628,23588,88047,4578,52298,74741,245918,239436,837,226,1642,8118,9879,113,148,992,234,492,35782,16369,68,150216,161611,13650,1276,113164,5301,3675,93917,847,106,307,18687,11683,5564,1363,52869
88,Ayam Barbeque,40449,340333,4618,20097,2659,41662,7621,23662,88046,458,52348,7473,246016,239562,782,242,1616,8143,9754,16,159,1081,239,387,35719,16431,9,150139,161609,136557,1313,113142,5384,364,94043,918,98,314,18761,11548,5583,136,52724
89,Ayam Barbeque,40445,340387,4564,20112,2817,41601,7533,23598,88117,4474,52341,74886,246027,239476,923,31,169,8199,9726,88,217,959,257,458,35763,16392,88,150169,161564,136547,1215,113192,5497,3602,94037,858,-29,203,18789,11676,544,1407,52794
90,Iga Penyet,73581,2526,9018,7519,23315,46559,1133,4156,2537,12202,1300,1809,2932631,555516,2569,388,109478,1988,4037,1248,2026,34302,3113,8205,449,193,199,1991681,588,125,36,586,40,0,757,287,22,87,34,24893,31605,11387,75
91,Iga Penyet,73599,252544,9028,7481,23248,46569,11359,4252,253796,12134,13010,180878,293334,5558,2529,352,10924,19807,40271,101,206,343,219,893,44979,1935,135,199162,58849,12424,3561,58609,403,71,75631,331,257,8659,3466,2422,3155,1167,7479
92,Iga Penyet,73495,252686,9025,7513,23272,46487,11365,4159,253744,12276,130028,180948,293273,55529,2598,378,10945,19886,40392,137,167,3373,275,792,44932,19333,167,199104,58804,12456,3664,58525,3915,4,75777,258,163,8661,3442,2531,3166,1117,751
93,Iga Penyet,73669,252565,9077,7577,23364,46606,11378,425,253799,12199,130037,18099,293345,55562,2553,292,11047,19827,4037,73,164,347,265,901,44938,19355,253,199261,58857,1252,3502,58628,3921,73,75756,218,272,8733,3331,248,3209,1203,7411
94,Iga Penyet,73638,252536,9024,7444,23261,46639,11428,4151,253765,12132,130073,180959,293181,55621,2487,483,11029,19804,40309,175,124,3343,27,784,44896,19371,167,199075,58731,12547,3606,58513,3917,84,75797,285,26,8788,3493,2416,3082,1127,7492
95,Iga Penyet,73521,252556,9015,7532,23368,4659,11291,4062,253715,12123,130013,180883,293179,55616,2558,488,10901,1991,4042,122,135,3451,248,824,44825,19272,174,199202,58842,12423,3652,58641,391,83,7569,295,135,8733,3467,2436,3156,1114,7447
96,Iga Penyet,73604,252517,9004,7521,23234,46645,11306,4153,253744,12112,130027,180917,293333,55543,2579,477,10892,19962,40364,154,263,3393,297,773,44852,19205,269,199209,58846,12585,3687,58613,3962,-10,75771,341,149,8665,346,2563,3071,1041,7537
97,Iga Penyet,73522,252516,9093,7576,23338,46504,11262,4069,253694,12127,129962,180868,293199,55608,2588,311,10878,19819,40327,5,192,349,246,892,44975,19395,20,199105,58702,12582,3595,5860,3949,-7,75772,214,30,8601,3309,2429,321,121,7538
98,Iga Penyet,73494,252644,9058,7531,23301,46466,11329,4111,253769,12166,129982,180867,293238,55639,2647,412,11044,19802,40393,121,299,3486,289,78,4488,19396,20,19918,58766,12561,3628,58583,3954,-86,75762,19,162,878,3487,2481,3097,1091,7512
99,Iga Penyet,73634,252549,8927,7537,23373,4652,11274,4192,253617,12146,129965,180952,293273,55543,2503,357,10912,19854,40391,114,271,3468,212,761,44839,1925,14,199194,58716,12458,3586,58615,3939,9,75726,279,24,8721,3449,2517,3233,1191,7568
100,Korean Spicy Chicken,52863,4486,8633,26497,12673,48838,671,11492,1683,5986,858,1774,225232,1102491,1848,6562,43357,1791,973,2255,1739,34377,3654,3951,393,2185,78,893,57,16,63,472,0,12062,200355,2006,1,5,305,75366,98852,77636,70
101,Korean Spicy Chicken,5293,448572,8578,26545,12679,48796,6611,1152,168301,5971,85732,177475,225217,110155,1903,646,435,17829,9716,249,217,3463,291,315,39221,21831,83,89279,567,1606,6331,47299,-14,1262,20082,1924,-3,502,2957,7505,9831,7735,7023
