ID,Nama Bahan,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
10,"Keju, Cheshire","37,65",387,"23,37","30,60","3,60","4,78",-,-,643,"0,21",21,464,95,700,"2,79","0,042","0,012","14,5",-,"0,046","0,293","0,080","0,413","0,074",18,-,"0,83",985,233,220,-,-,-,-,-,-,-,-,-,"19,475","8,671","0,870","103,00"
11,"Keju, colby","38,20",394,"23,76","32,11","3,36","2,57",-,"0,52",685,"0,76",26,457,127,604,"3,07","0,042","0,012","14,5",-,"0,015","0,375","0,093","0,210","0,079",18,15,"0,83",994,264,257,-,82,-,-,-,"0,28","0,6",24,"2,7","20,218","9,280","0,953","95,00"
12,"Keju, cottage, krim, dadih besar atau kecil","79,79",98,"11,12","4,30","1,41","3,38",-,"2,67",83,"0,07",8,159,104,364,"0,40","0,029","0,002","9,7",-,"0,027","0,163","0,099","0,557","0,046",12,18,"0,43",140,37,36,-,12,-,-,-,"0,08","0,1",3,-,"1,718","0,778","0,123","17,00"
13,"Keju, cottage, krim, dengan buah","79,64",97,"10,69","3,85","1,20","4,61","0,2","2,38",53,"0,16",7,113,90,344,"0,33","0,040","0,003","7,7","1,4","0,033","0,142","0,150","0,181","0,068",11,18,"0,53",146,38,37,-,14,-,-,-,"0,04",-,-,"0,4","2,311","1,036","0,124","13,00"
14,"Keju, cottage, tanpa lemak, tanpa dadih, dikeringkan, besar atau kecil","81,01",72,"10,34","0,29","1,71","6,66",-,"1,85",86,"0,15",11,190,137,372,"0,47","0,030","0,022","9,4",-,"0,023","0,226","0,144","0,446","0,016",9,18,"0,46",8,2,2,-,-,-,-,-,"0,01",-,-,-,"0,169","0,079","0,003","7,00"
15,"Keju, cottage, lemak rendah, lemak susu 2%","81,24",81,"10,45","2,27","1,27","4,76",-,"4,00",111,"0,13",9,150,125,308,"0,51","0,033","0,015","11,9",-,"0,020","0,251","0,103","0,524","0,057",8,16,"0,47",225,68,68,-,6,-,-,-,"0,08",-,-,-,"1,235","0,516","0,083","12,00"
16,"Keju, cottage, lemak rendah, lemak susu 1%","82,48",72,"12,39","1,02","1,39","2,72",-,"2,72",61,"0,14",5,134,86,406,"0,38","0,028","0,003","9,0",-,"0,021","0,165","0,128","0,215","0,068",12,18,"0,63",41,11,11,-,3,-,-,-,"0,01",-,-,"0,1","0,645","0,291","0,031","4,00"
17,"Keju, krim","52,62",350,"6,15","34,44","1,27","5,52",-,"3,76",97,"0,11",9,107,132,314,"0,50","0,018","0,011","8,6",-,"0,023","0,230","0,091","0,517","0,056",9,27,"0,22",1.111,308,303,1,59,2,-,7,"0,86",-,-,"2,1","20,213","8,907","1,483","101,00"
18,"Keju, edam","41,56",357,"24,99","27,80","4,22","1,43",-,"1,43",731,"0,44",30,536,188,812,"3,75","0,036","0,011","14,5",-,"0,037","0,389","0,082","0,281","0,076",16,15,"1,54",825,243,242,-,11,-,-,-,"0,24","0,5",20,"2,3","17,572","8,125","0,665","89,00"
19,"Keju, feta","55,22",264,"14,21","21,28","5,20","4,09",-,"4,09",493,"0,65",19,337,62,917,"2,88","0,032","0,028","15,0",-,"0,154","0,844","0,991","0,967","0,424",32,15,"1,69",422,125,125,-,3,-,-,-,"0,18","0,4",16,"1,8","14,946","4,623","0,591","89,00"
20,"Keju, fontina","37,92",389,"25,60","31,14","3,79","1,55",-,"1,55",550,"0,23",14,346,64,800,"3,50","0,025","0,014","14,5",-,"0,021","0,204","0,150","0,429","0,083",6,15,"1,68",913,261,258,-,32,-,-,-,"0,27","0,6",23,"2,6","19,196","8,687","1,654","116,00"
21,"Keju, gjetost","13,44",466,"9,65","29,51","4,75","42,65",-,-,400,"0,52",70,444,1.409,600,"1,14","0,080","0,040","14,5",-,"0,315","1,382","0,813","3,351","0,271",5,-,"2,42",1.113,334,334,-,-,-,-,-,-,-,-,-,"19,160","7,879","0,938","94,00"
22,"Keju, gouda","41,46",356,"24,94","27,44","3,94","2,22",-,"2,22",700,"0,24",29,546,121,819,"3,90","0,036","0,011","14,5",-,"0,030","0,334","0,063","0,340","0,080",21,15,"1,54",563,165,164,-,10,-,-,-,"0,24","0,5",20,"2,3","17,614","7,747","0,657","114,00"
23,"Keju, gruyere","33,19",413,"29,81","32,34","4,30","0,36",-,"0,36",1.011,"0,17",36,605,81,714,"3,90","0,032","0,017","14,5",-,"0,060","0,279","0,106","0,562","0,081",10,15,"1,60",948,271,268,-,33,-,-,-,"0,28","0,6",24,"2,7","18,913","10,043","1,733","110,00"
24,"Keju, limburger","48,42",327,"20,05","27,25","3,79","0,49",-,"0,49",497,"0,13",21,393,128,800,"2,10","0,021","0,038","14,5",-,"0,080","0,503","0,158","1,177","0,086",58,15,"1,04",1.155,340,339,-,15,-,-,-,"0,23","0,5",20,"2,3","16,746","8,606","0,495","90,00"
25,"Keju, monterey","41,01",373,"24,48","30,28","3,55","0,68",-,"0,50",746,"0,72",27,444,81,600,"3,00","0,032","0,011","14,5",-,"0,015","0,390","0,093","0,210","0,079",18,15,"0,83",769,198,192,-,78,-,-,-,"0,26","0,6",22,"2,5","19,066","8,751","0,899","89,00"
26,"Keju, mozzarella, susu murni","50,01",300,"22,17","22,35","3,28","2,19",-,"1,03",505,"0,44",20,354,76,627,"2,92","0,011","0,030","17,0",-,"0,030","0,283","0,104","0,141","0,037",7,15,"2,28",676,179,174,-,57,-,-,-,"0,19","0,4",16,"2,3","13,152","6,573","0,765","79,00"
27,"Keju, mozzarella, susu murni, kelembaban rendah","48,38",318,"21,60","24,64","2,91","2,47",-,"1,01",575,"0,20",21,412,75,710,"2,46","0,022","0,009","16,1",-,"0,016","0,270","0,094","0,071","0,062",8,15,"0,73",745,197,192,-,63,-,-,-,"0,21","0,5",18,"2,5","15,561","7,027","0,778","89,00"
28,"Keju, mozzarella, sebagian susu skim","53,78",254,"24,26","15,92","3,27","2,77",-,"1,13",782,"0,22",23,463,84,619,"2,76","0,025","0,010","14,4",-,"0,018","0,303","0,105","0,079","0,070",9,15,"0,82",481,127,124,-,41,-,-,-,"0,14","0,3",12,"1,6","10,114","4,510","0,472","64,00"
29,"Keju, mozzarella, kelembaban rendah, sebagian skim","47,07",295,"23,75","19,78","3,83","5,58",-,"1,90",697,"0,22",27,548,188,666,"3,62","0,033","0,039","27,6",-,"0,024","0,353","0,111","0,429","0,100",27,14,"1,68",829,223,223,-,51,-,-,-,"0,50","0,4",15,"1,3","11,295","5,741","1,019","64,00"
30,"Keju, muenster","41,77",368,"23,41","30,04","3,66","1,12",-,"1,12",717,"0,41",27,468,134,628,"2,81","0,031","0,008","14,5",-,"0,013","0,320","0,103","0,190","0,056",12,15,"1,47",1.012,298,297,-,13,-,-,-,"0,26","0,6",22,"2,5","19,113","8,711","0,661","96,00"
31,"Keju, neufchatel","63,11",253,"9,15","22,78","1,37","3,59",-,"3,19",117,"0,13",10,138,152,334,"0,82","0,027","0,011","3,0",-,"0,022","0,155","0,210","0,575","0,041",14,-,"0,30",841,241,239,-,27,-,-,-,"0,40",-,-,"1,7","12,790","5,784","0,970","74,00"
32,"Keju, parmesan, parut","22,65",420,"28,42","27,84","7,18","13,91",-,"0,07",853,"0,49",34,627,180,1.804,"4,20","0,040","0,071","34,4",-,"0,026","0,358","0,080","0,450","0,081",6,14,"1,40",974,262,255,-,73,-,-,-,"0,53","0,5",21,"1,7","15,371","7,130","1,386","86,00"
33,"Keju, parmesan, keras","29,16",392,"35,75","25,83","6,04","3,22",-,"0,80",1.184,"0,82",44,694,92,1.376,"2,75","0,032","0,020","22,5",-,"0,039","0,332","0,271","0,453","0,091",7,15,"1,20",781,207,201,-,66,-,-,-,"0,22","0,5",19,"1,7","16,410","7,515","0,569","68,00"
34,"Keju, port de salut","45,45",352,"23,78","28,20","2,00","0,57",-,"0,57",650,"0,43",24,360,136,534,"2,60","0,022","0,011","14,5",-,"0,014","0,240","0,060","0,210","0,053",18,15,"1,50",1.092,315,313,-,29,-,-,-,"0,24","0,5",21,"2,4","16,691","9,338","0,729","123,00"
35,"Keju, provolon","40,95",351,"25,58","26,62","4,71","2,14",-,"0,56",756,"0,52",28,496,138,876,"3,23","0,026","0,010","14,5",-,"0,019","0,321","0,156","0,476","0,073",10,15,"1,46",880,236,230,-,68,-,-,-,"0,23","0,5",20,"2,2","17,078","7,393","0,769","69,00"
36,"Keju, ricotta, susu murni","71,70",174,"11,26","12,98","1,02","3,04",-,"0,27",207,"0,38",11,158,105,84,"1,16","0,021","0,006","14,5",-,"0,013","0,195","0,104","0,213","0,043",12,18,"0,34",445,120,117,-,33,-,-,-,"0,11","0,2",10,"1,1","8,295","3,627","0,385","51,00"
37,"Keju, ricotta, sebagian susu skim","74,41",138,"11,39","7,91","1,15","5,14",-,"0,31",272,"0,44",15,183,125,99,"1,34","0,034","0,010","16,7",-,"0,021","0,185","0,078","0,242","0,020",13,16,"0,29",384,107,105,-,20,-,-,-,"0,07","0,1",6,"0,7","4,927","2,314","0,260","31,00"
38,"Keju, romano","30,91",387,"31,80","26,94","6,72","3,63",-,"0,73",1.064,"0,77",41,760,86,1.433,"2,58","0,030","0,020","14,5",-,"0,037","0,370","0,077","0,424","0,085",7,15,"1,12",415,96,90,-,69,-,-,-,"0,23","0,5",20,"2,2","17,115","7,838","0,593","104,00"
39,"Keju, roquefort","39,38",369,"21,54","30,64","6,44","2,00",-,-,662,"0,56",30,392,91,1.809,"2,08","0,034","0,030","14,5",-,"0,040","0,586","0,734","1,731","0,124",49,-,"0,64",1.047,294,290,-,-,-,-,-,-,-,-,-,"19,263","8,474","1,320","90,00"
40,"Keju, swiss","37,63",393,"26,96","30,99","2,97","1,44",-,-,890,"0,13",33,574,72,187,"4,37","0,047","0,026","30,0",-,"0,011","0,302","0,064","0,353","0,071",10,16,"3,06",1.047,288,283,1,61,2,1,8,"0,60",-,-,"1,4","18,227","8,046","1,341","93,00"
41,"Keju, tilsit","42,86",340,"24,41","25,98","4,87","1,88",-,-,700,"0,23",13,500,65,753,"3,50","0,026","0,013","14,5",-,"0,061","0,359","0,205","0,346","0,065",20,-,"2,10",1.045,249,236,-,-,-,-,-,-,-,-,-,"16,775","7,136","0,721","102,00"
42,"Keju, proses pasteurisasi, Amerika, diperkaya dengan vitamin D","39,61",366,"18,13","30,71","6,78","4,78",-,"2,26",1.045,"0,63",26,641,132,1.671,"2,49","0,046","0,041","20,2",-,"0,015","0,234","0,076","0,403","0,054",8,19,"1,50",1.131,317,313,-,49,7,-,21,"0,80","7,5",301,"3,7","18,057","8,236","1,286","100,00"
43,"Keju, proses pasteurisasi, bumbu cengkeh","39,08",375,"22,13","31,20","5,84","1,73","0,1","0,62",614,"0,42",22,744,162,915,"2,98","0,033","0,016","14,5","2,3","0,027","0,354","0,078","0,485","0,071",8,35,"0,70",1.03,244,231,12,150,-,-,18,"0,29","0,5",22,"2,9","19,663","8,937","0,988","94,00"
44,"Keju, proses pasteurisasi, swiss","42,31",334,"24,73","25,01","5,85","2,10",-,"1,23",772,"0,61",29,762,216,1.37,"3,61","0,027","0,014","15,9",-,"0,014","0,276","0,038","0,260","0,036",6,36,"1,23",746,198,192,-,63,-,-,-,"0,34","0,5",18,"2,2","16,045","7,046","0,622","85,00"
45,"Makanan keju, paket dingin, Amerika","43,12",331,"19,66","24,46","4,44","8,32",-,-,497,"0,84",30,400,363,966,"3,01","0,030","0,010","16,2",-,"0,030","0,446","0,074","0,977","0,141",5,-,"1,28",705,-,-,-,-,-,-,-,-,-,-,-,"15,355","7,165","0,719","64,00"
46,"Makanan keju, proses pasteurisasi, Amerika, vitamin D diperkaya","44,00",330,"16,86","25,63","4,96","8,56",-,"5,59",682,"0,26",27,438,255,1.284,"2,31","0,034","0,025","19,6",-,"0,035","0,360","0,155","0,855","0,102",7,36,"1,33",761,201,196,-,65,-,-,-,"0,63","2,5",102,"3,4","15,057","6,846","1,049","98,00"
47,"Makanan keju, proses pasteurisasi, swiss","43,67",323,"21,92","24,14","5,77","4,50",-,-,723,"0,60",28,526,284,1.552,"3,55","0,030","0,010","16,1",-,"0,014","0,400","0,104","0,500","0,035",6,-,"2,30",856,237,233,-,-,-,-,-,-,-,-,-,"15,487","6,801","0,600","82,00"
48,"Penyebaran keju, proses pasteurisasi, Amerika","47,65",290,"16,41","21,23","5,98","8,73",-,"7,32",562,"0,33",29,875,242,1.625,"2,59","0,033","0,020","11,3",-,"0,048","0,431","0,131","0,686","0,117",7,36,"0,40",653,173,168,-,55,-,-,-,"0,19","0,4",16,"1,8","13,327","6,219","0,624","55,00"
49,"Krim, cairan, setengah dan setengah","81,24",123,"3,13","10,39","0,51","4,73",-,"4,13",107,"0,05",10,95,132,61,"0,39","0,009","0,005","3,2","0,9","0,030","0,194","0,109","0,539","0,050",3,19,"0,19",354,97,95,-,22,-,-,-,"0,25",-,2,"1,3","7,032","3,320","0,554","35,00"
50,"Krim, cairan, cahaya (krim kopi atau krim meja)","74,51",191,"2,96","19,10","0,61","2,82",-,"3,67",91,"0,05",9,92,136,72,"0,32","0,012","0,005","4,6","0,8","0,023","0,190","0,090","0,440","0,044",2,17,"0,14",656,181,178,-,37,-,-,-,"0,12","1,1",44,"1,7","10,176","4,525","0,789","59,00"
51,"Krim, cairan, cambuk ringan","63,50",292,"2,17","30,91","0,46","2,96",-,"2,96",69,"0,03",7,61,97,34,"0,25","0,007","0,001","0,5","0,6","0,024","0,125","0,042","0,259","0,028",4,17,"0,20",1.013,279,274,-,60,-,-,-,"0,88","0,6",23,"2,7","19,337","9,093","0,884","111,00"
52,"Krim, cairan, cambuk berat","57,81",340,"2,84","36,08","0,53","2,74",-,"2,92",66,"0,10",7,58,95,27,"0,24","0,011","0,006","3,0","0,6","0,020","0,188","0,064","0,495","0,035",4,17,"0,16",1.47,411,405,-,72,-,-,-,"0,92","1,6",63,"3,2","23,032","9,101","1,570","113,00"
53,"Krim, dikocok, topping krim, bertekanan","61,33",257,"3,20","22,22","0,76","12,49",-,"8,00",101,"0,05",11,89,147,8,"0,37","0,010","0,001","1,4",-,"0,037","0,065","0,070","0,305","0,041",3,17,"0,29",685,188,184,-,43,-,-,-,"0,64","0,4",16,"1,9","13,831","6,418","0,825","76,00"
54,"Krim, asam, lemak berkurang, dikultur","80,14",135,"2,94","12,00","0,66","4,26",-,"0,16",104,"0,07",10,95,129,89,"0,50","0,016","0,003","2,1","0,9","0,035","0,149","0,067","0,363","0,016",11,19,"0,30",372,102,100,-,23,-,-,-,"0,34","0,2",9,"0,6","7,470","3,466","0,446","39,00"
55,"Krim, asam, berbudaya","73,07",198,"2,44","19,35","0,51","4,63",-,"3,41",101,"0,07",10,76,125,31,"0,33","0,018","0,015","3,7","0,9","0,020","0,168","0,093","0,472","0,041",6,19,"0,21",447,124,121,-,25,1,-,4,"0,38",-,-,"1,5","10,140","4,594","0,800","59,00"
56,Minuman telur kopyok,"82,54",88,"4,55","4,19","0,67","8,05",-,"8,05",130,"0,20",19,109,165,54,"0,46","0,013","0,005","4,2","1,5","0,034","0,190","0,105","0,417","0,050",1,52,"0,45",206,59,58,-,7,-,-,54,"0,21","1,2",49,"0,3","2,591","1,302","0,198","59,00"
57,"Saus asam, non-butterfat, berbudaya, jenis krim diisi","74,79",178,"3,25","16,57","0,71","4,68",-,"4,68",113,"0,03",10,87,162,48,"0,37","0,010","0,002","2,3","0,9","0,038","0,163","0,074","0,398","0,017",12,15,"0,33",10,3,3,-,-,-,-,-,"1,34",-,-,"4,1","13,272","1,958","0,468","5,00"
58,"Susu, diisi, cairan, dengan campuran minyak sayur terhidrogenasi","87,67",63,"3,33","3,46","0,80","4,74",-,-,128,"0,05",13,97,139,57,"0,36","0,010","0,002","2,0","0,9","0,030","0,123","0,087","0,301","0,040",5,-,"0,34",7,2,2,-,-,-,-,-,-,-,-,-,"0,768","1,783","0,750","2,00"
59,"Susu, diisi, cairan, dengan minyak asam laurat","87,73",63,"3,33","3,40","0,80","4,74",-,"4,74",128,"0,05",13,97,139,57,"0,36","0,010","0,002","2,0","0,9","0,030","0,123","0,087","0,301","0,040",5,15,"0,34",7,2,2,-,-,-,-,-,"0,13",-,-,"0,8","3,101","0,100","0,010","2,00"
60,"Keju, Amerika, tanpa lemak atau bebas lemak","65,47",126,"21,05",-,"2,95","10,53",-,"5,26",789,-,115,316,393,1.316,"4,11","0,559",-,"14,6",-,"0,412","0,545","5,560",-,"0,567",9,38,"1,85",189,56,55,-,3,-,-,-,"0,27","0,1",5,"0,2",-,-,-,"26,00"
61,"Pengganti krim, cair, dengan minyak sayur terhidrogenasi dan protein kedelai","77,27",136,"1,00","9,97","0,38","11,38",-,"11,38",9,"0,03",-,64,191,67,"0,02",-,-,"1,1",-,-,-,-,-,-,-,-,-,15,1,-,-,9,-,-,-,"0,81",-,-,"2,5","1,937","7,551","0,027",-
62,"Pengganti krim, cair, dengan minyak asam laurat dan natrium kaseinat","77,27",136,"1,00","9,97","0,38","11,38",-,-,9,"0,03",-,64,191,79,"0,02","0,025","0,040","1,1",-,-,-,-,-,-,-,-,-,89,4,-,-,-,-,-,-,-,-,-,-,"9,304","0,106","0,003",-
63,"Pengganti krim, bubuk","2,98",529,"2,48","32,92","2,34","59,29",-,"7,77",2,"0,26",1,288,669,124,"0,07","0,018","0,011",-,-,-,-,-,"0,117",-,-,2,-,-,-,-,-,-,-,-,-,"1,26",-,-,"1,7","19,146","9,796","0,408",-
64,"Topping makanan penutup, bubuk","1,47",577,"4,90","39,92","1,17","52,54",-,"52,54",17,"0,03",7,74,166,122,"0,08","0,118","0,225","0,6",-,-,-,-,-,-,-,"0,1",-,-,-,-,-,-,-,-,-,"1,52",-,-,"9,9","36,723","0,600","0,447",-
65,"Topping makanan penutup, bubuk, 1,5 ons disiapkan dengan 1/2 gelas susu","65,74",194,"3,61","12,72","0,80","17,13",-,"17,13",90,"0,04",10,86,151,66,"0,27","0,012","0,005","4,8","0,7","0,027","0,117","0,060","0,226","0,030",4,11,"0,26",120,34,34,-,5,-,-,-,"0,45","0,9",38,"2,7","10,684","0,843","0,201","10,00"
66,"Topping makanan penutup, bertekanan","60,37",264,"0,98","22,30","0,28","16,07",-,"16,07",5,"0,02",1,18,19,62,"0,01","0,024","0,045","1,5",-,-,-,-,-,-,-,-,-,78,4,-,-,47,-,-,-,"0,85",-,-,"5,5","18,912","1,927","0,241",-
67,"Topping makanan penutup, semi padat, beku","50,21",318,"1,25","25,31","0,18","23,05",-,"23,05",6,"0,12",2,8,18,25,"0,03","0,030","0,058","2,1",-,-,-,-,-,-,-,-,-,143,7,-,-,86,-,-,-,"0,96",-,-,"6,3","21,783","1,616","0,523",-
68,"Krim asam, imitasi, berbudaya","71,15",208,"2,40","19,52","0,30","6,63",-,"6,63",3,"0,39",6,45,161,102,"1,18","0,058","0,110","2,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,74",-,-,"4,8","17,791","0,588","0,056",-
69,"Pengganti susu, cairan, dengan minyak asam laurat","88,18",61,"1,75","3,41","0,50","6,16",-,-,33,"0,39",6,74,114,78,"1,18","0,051","0,097","1,9",-,"0,012","0,088",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,037","0,176","0,008",-
70,"Susu, utuh, 3,25% lemak susu, dengan tambahan vitamin D","88,13",61,"3,15","3,25","0,67","4,80",-,"5,05",113,"0,03",10,84,132,43,"0,37","0,025","0,004","3,7",-,"0,046","0,169","0,089","0,373","0,036",5,14,"0,45",162,46,45,-,7,-,-,-,"0,07","1,3",51,"0,3","1,865","0,812","0,195","10,00"
71,"Susu, produsen, cairan, 3,7% lemak susu","87,69",64,"3,28","3,66","0,72","4,65",-,-,119,"0,05",13,93,151,49,"0,38","0,010","0,004","2,0","1,5","0,038","0,161","0,084","0,313","0,042",5,-,"0,36",138,33,31,-,-,-,-,-,-,-,-,-,"2,278","1,057","0,136","14,00"
72,"Susu, mengurangi lemak, cairan, lemak susu 2%, dengan tambahan vitamin A dan vitamin D","89,21",50,"3,30","1,98","0,71","4,80",-,"5,06",120,"0,02",11,92,140,47,"0,48","0,006","0,014","2,5","0,2","0,039","0,185","0,092","0,356","0,038",5,16,"0,53",190,55,55,-,4,-,-,-,"0,03","1,2",49,"0,2","1,257","0,560","0,073","8,00"
73,"Susu, mengurangi lemak, cairan, lemak susu 2%, dengan tambahan susu tanpa lemak dan vitamin A dan vitamin D","88,86",51,"3,48","1,92","0,77","4,97",-,-,128,"0,05",14,100,162,52,"0,40","0,008","0,002","2,3","1,0","0,040","0,173","0,090","0,336","0,045",5,-,"0,38",204,56,55,-,-,-,-,-,-,"1,0",40,-,"1,195","0,555","0,071","8,00"
74,"Susu, mengurangi lemak, cairan, lemak susu 2%, protein yang diperkaya, dengan tambahan vitamin A dan vitamin D","87,71",56,"3,95","1,98","0,87","5,49",-,"5,26",143,"0,06",16,112,182,59,"0,45","0,008","0,002","2,6","1,1","0,045","0,194","0,101","0,376","0,051",6,-,"0,43",5,-,-,-,3,-,-,-,"0,04","1,0",40,"0,1","1,232","0,572","0,074","8,00"
75,"Susu, lemak rendah, cairan, lemak susu 1%, dengan tambahan vitamin A dan vitamin D","89,92",42,"3,37","0,97","0,75","4,99",-,"5,20",125,"0,03",11,95,150,44,"0,42","0,010","0,003","3,3",-,"0,020","0,185","0,093","0,361","0,037",5,18,"0,47",196,58,58,-,2,-,-,-,"0,01","1,2",48,"0,1","0,633","0,277","0,035","5,00"
76,"Susu, lemak rendah, cairan, lemak susu 1%, dengan tambahan padatan susu tanpa lemak, vitamin A dan vitamin D","89,81",43,"3,48","0,97","0,77","4,97",-,-,128,"0,05",14,100,162,52,"0,40","0,010","0,002","2,3","1,0","0,040","0,173","0,090","0,336","0,045",5,-,"0,38",204,59,58,-,-,-,-,-,-,"1,0",40,-,"0,604","0,280","0,036","4,00"
77,"Susu, lemak rendah, cairan, lemak susu 1%, protein yang diperkaya, dengan tambahan vitamin A dan vitamin D","88,74",48,"3,93","1,17","0,86","5,52",-,-,142,"0,06",16,111,180,58,"0,45","0,010","0,002","2,5","1,2","0,045","0,192","0,100","0,373","0,050",6,-,"0,43",203,61,61,-,-,-,-,-,-,"1,0",40,-,"0,728","0,338","0,043","4,00"
78,"Susu, tanpa lemak, cairan, dengan tambahan vitamin A dan vitamin D (bebas lemak atau skim)","90,84",34,"3,37","0,08","0,75","4,96",-,"5,09",122,"0,03",11,101,156,42,"0,42","0,013","0,003","3,1",-,"0,045","0,182","0,094","0,357","0,037",5,16,"0,50",204,61,61,-,-,-,-,-,"0,01","1,2",47,-,"0,056","0,022","0,003","2,00"
79,"Susu, tanpa lemak, cairan, dengan menambahkan padatan susu tanpa lemak, vitamin A dan vitamin D (bebas lemak atau skim)","90,38",37,"3,57","0,25","0,78","5,02",-,"5,02",129,"0,05",15,104,171,53,"0,41","0,011","0,002","2,2","1,0","0,041","0,175","0,091","0,339","0,046",5,16,"0,39",214,64,64,-,-,-,-,-,"0,01","1,2",49,-,"0,162","0,065","0,009","2,00"
80,"Susu, tanpa lemak, cairan, protein yang diperkaya, dengan tambahan vitamin A dan vitamin D (bebas lemak dan skim)","89,36",41,"3,96","0,25","0,87","5,56",-,-,143,"0,06",16,112,182,59,"0,45","0,011","0,002","2,4","1,1","0,045","0,194","0,101","0,376","0,050",6,-,"0,43",203,61,61,-,-,-,-,-,-,"1,0",40,-,"0,162","0,065","0,009","2,00"
